title,full_name
Improved Salient Object Extraction using Structured Matrix Decomposition and Contour Based Spatial Prior,Sharad Kumar Ghimire
Performance Analysis of LTE-Advanced Mobile Relay Stations in Railway Environments,Sharad Kumar Ghimire
Analysis and Optimization of Magnetic Resonant Wireless Power Transfer System,Sharad Kumar Ghimire
Comparative Analysis of Cell Balancing Topologies in Battery Management Systems,Sharad Kumar Ghimire
GAN-Based Two-Step Pipeline for Real-World Image Super-Resolution,Sharad Kumar Ghimire
Devnagari Handwritten Characters Image Super-Resolution based on Enhanced SRGAN,Sharad Kumar Ghimire
Performance Analysis of Structured Matrix Decomposition with Contour Based Spatial Prior for Extracting Salient Object from Complex Scene,Sharad Kumar Ghimire
Green Human Resource Management in Conjunction with the Sustainability of Corporate Environments,Sharad Kumar Ghimire
Intercell interference mitigation in lte-advanced heterogeneous network,Sharad Kumar Ghimire
A Novel Approach for Wireless Power Transfer Using Magnetic Resonant Method,Sharad Kumar Ghimire
Indoor Odometry and Point Cloud Mapping,Sharad Kumar Ghimire
An efficient security framework for data migration in a cloud computing environment,Subarna Shakya
Computational enhancements of wearable healthcare devices on pervasive computing system,Subarna Shakya
A comparison of semantic similarity methods for maximum human interpretability,Subarna Shakya
Advances in intelligent systems and computing,Subarna Shakya
Analysis of look back period for stock price prediction with RNN variants: A case study on banking sector of NEPSE,Subarna Shakya
Biomedical image analysis using semantic segmentation,Subarna Shakya
A self monitoring and analyzing system for solar power station using IoT and data mining algorithms,Subarna Shakya
Cloud based web scraping for big data applications,Subarna Shakya
Preface: International Conference on Inventive Research in Material Science and Technology (ICIRMCT 2018),Subarna Shakya
Preface: 2nd International Conference on Inventive Research in Material Science and Technology (ICIRMCT 2019),Subarna Shakya
Survey on neural network architectures with deep learning,Subarna Shakya
Big data analytics for improved risk management and customer segregation in banking applications,Subarna Shakya
BSS: Blockchain security over software defined network,Subarna Shakya
Privacy preserving approaches in cloud computing,Subarna Shakya
Analysis of artificial intelligence based image classification techniques,Subarna Shakya
An approach to develop a hybrid algorithm based on support vector machine and Naive Bayes for anomaly detection,Subarna Shakya
Intelligent and adaptive multi-objective optimization in WANET using bio inspired algorithms,Subarna Shakya
Technology acceptance perspectives on user satisfaction and trust of e-government adoption,Subarna Shakya
Reliable automated software testing through hybrid optimization algorithm,Subarna Shakya
Image-based plant disease detection with deep learning,Subarna Shakya
State education system with E-learning in Nepal: Impact and challenges,Subarna Shakya
Word Sense Disambiguation using WSD specific WordNet of polysemy words,Subarna Shakya
e-Government implementation in Nepal: a challenges,Subarna Shakya
Heart disease prediction using fog computing based wireless body sensor networks (WSNs),Subarna Shakya
Anomalies detection in fog computing architectures using deep learning,Subarna Shakya
Virtual restoration of damaged archeological artifacts obtained from expeditions using 3D visualization,Subarna Shakya
Comparison of algorithms in foreign exchange rate prediction,Subarna Shakya
Design of hybrid energy management system for wireless sensor networks in remote areas,Subarna Shakya
Efficient security and privacy mechanism for block chain application,Subarna Shakya
A comparative performance analysis of fog-based smart surveillance system,Subarna Shakya
E-Governance implementation: challenges of effective service delivery in civil service of Nepal,Subarna Shakya
Evaluating the web accessibility of websites of the central government of Nepal,Subarna Shakya
Information security framework for e-government implementation in Nepal,Subarna Shakya
Survey on Cloud Based Robotics Architecture Challenges and Applications,Subarna Shakya
Process mining error detection for securing the IoT system,Subarna Shakya
Word sense disambiguation in Nepali language,Subarna Shakya
Human behavior prediction using facial expression analysis,Subarna Shakya
Constraints mitigation in cognitive radio networks using cloud computing,Subarna Shakya
The robust routing protocol with authentication for wireless adhoc networks,Subarna Shakya
Performance analysis of wind turbine monitoring mechanism using integrated classification and optimization techniques,Subarna Shakya
Information technology education in Nepal: An inner perspective,Subarna Shakya
Unmanned aerial vehicle with thermal imaging for automating water status in vineyard,Subarna Shakya
ICT implementation and infrastructure deployment approach for rural Nepal,Subarna Shakya
Performance optimization of wireless adhoc networks with authentication,Subarna Shakya
Machine learning based nonlinearity determination for optical fiber communication-review,Subarna Shakya
IoT based F-RAN architecture using cloud and edge detection system,Subarna Shakya
ICT and service delivery mechanisms in civil service of Nepal,Subarna Shakya
Multi Distance Face Recognition of Eye Localization with Modified Gaussian Derivative Filter,Subarna Shakya
Foreign rate exchange prediction using neural network and sentiment analysis,Subarna Shakya
Sensor assisted incident alarm system for smart city applications,Subarna Shakya
Technical analysis of ZigBee wireless communication,Subarna Shakya
Real time sign language recognition and speech generation,Subarna Shakya
Cloud computing and data security challenges: A Nepal case,Subarna Shakya
Modified gray wolf feature selection and machine learning classification for wireless sensor network intrusion detection,Subarna Shakya
Critical Success Factor of Agile Methodology in Software Industry of Nepal,Subarna Shakya
Developing Domain Ontology for Issuing Certificate of Citizenship of Nepal,Subarna Shakya
Collaboration of smart city services with appropriate resource management and privacy protection,Subarna Shakya
"Autonomous use of fractal structure in low cost, multiband and compact navigational antenna",Subarna Shakya
A novel bi-velocity particle swarm optimization scheme for multicast routing problem,Subarna Shakya
Detection and classification of diabetic retinopathy using adaptive boosting and artificial neural network,Subarna Shakya
ICT tools and service delivery: A case of Nepalese civil service,Subarna Shakya
Dermatological diseases classification using image processing and deep neural network,Subarna Shakya
Intrusion detection system using back propagation algorithm and compare its performance with self organizing map,Subarna Shakya
E-Readiness Assessment for Ministries of Nepal for Implementation of e-government,Subarna Shakya
Information system audit an overview study in e-Government of Nepal,Subarna Shakya
Task scheduling in Grid computing using Genetic Algorithm,Subarna Shakya
Application of NLP for information extraction from unstructured documents,Subarna Shakya
Big Data Challenges for e-Government Services in Nepal,Subarna Shakya
Analyzing Challenges for the Implementation of E-Government in Municipalities within Kathmandu Valley,Subarna Shakya
Comparative analysis of backpropagation algorithm variants for network intrusion detection,Subarna Shakya
"Nepali SMS filtering using decision trees, neural network and support vector machine",Subarna Shakya
Video Compression for Surveillance Application using Deep Neural Network,Subarna Shakya
System architecture for social security cash transfer through branchless banking in Nepal,Subarna Shakya
Deep residual learning for facial emotion recognition,Subarna Shakya
Distributed high performance computing in openstack cloud over sdn infrastructure,Subarna Shakya
Acoustic Features Based Emotional Speech Signal Categorization by Advanced Linear Discriminator Analysis,Subarna Shakya
Analysis of gradient descent optimization techniques with gated recurrent unit for stock price prediction: A case study on banking sector of nepal stock exchange,Subarna Shakya
"Hypernymy in WordNet, its role in WSD, and its limitations",Subarna Shakya
Common: The real-time container and migration monitoring as a service in the cloud,Subarna Shakya
Government Roadmap for IPv4 to IPv6 Network Migration: A Case of Nepal,Subarna Shakya
Automated nanopackaging using cellulose fibers composition with feasibility in SEM environment,Subarna Shakya
Nepali pos tagging using deep learning approaches,Subarna Shakya
Real-time stock prediction using neural network,Subarna Shakya
Concerns on Information System and Security Audit,Subarna Shakya
Information system audit; A study for security and challenges in nepal,Subarna Shakya
E-readiness to implement e-government an overview study in HR domain in Nepal,Subarna Shakya
Information System Audit: Cloud Computing Security and Challenges,Subarna Shakya
Secured Crypto Stegano Data Hiding Using Least Significant Bit Substitution and Encryption,Subarna Shakya
3-way gated recurrent unit network architecture for stock price prediction,Subarna Shakya
Heart Disease Prediction Using Ensemble Model,Subarna Shakya
"High Risk of Cybercrime, Threat, Attack and Future Challenges in Nepal",Subarna Shakya
Decentralized electronic health record system,Subarna Shakya
Database and data warehouse status for e-Government system in different ministries of Nepal,Subarna Shakya
E-government Use in Nepal: Issues of Database Management and Data Security,Subarna Shakya
"Optical character recognition for nepali, english character and simple sketch using neural network",Subarna Shakya
Comparative Study of Electronic Government Infrastructure of Nepal with SAARC Nations,Subarna Shakya
Implication of Web 2.0 in e-government,Subarna Shakya
Technology acceptance model: understanding local government employees intention in social cash transfer through branchless banking in Nepal,Subarna Shakya
Rice Leaf Diseases Classification Using Discriminative Fine Tuning and CLR on EfficientNet,Subarna Shakya
Preliminary insights into cyberslacking impact on graduate students academic performance: A case study of a business school in Ghana,Subarna Shakya
Uses of ICT by students: Nepal case,Subarna Shakya
Intelligent Data Communication Technologies and Internet of Things,Subarna Shakya
E-government security readiness assessment for developing countries: Case study: Nepal Govt. organizations,Subarna Shakya
Polywordnet: A Word Sense Disambiguation Specific Wordnet of Polysemy Words,Subarna Shakya
Intelligent Data Communication Technologies and Internet of Things: ICICI 2019,Subarna Shakya
PolyWordNet: A lexical database,Subarna Shakya
Word Sense Disambiguation using Clue Words,Subarna Shakya
Distributed high performance computing using JAVA,Subarna Shakya
E-Government implementing challenges verification using Fuzzy logic,Subarna Shakya
"E-Governement Implementation in Nepal: A Challenges, vol 2, issue 1",Subarna Shakya
ECN Congestion Control Mechanism in IP Networks,Subarna Shakya
Autonomous Use of Fractal Structure in Low Cost,Subarna Shakya
Country paper on ICT Status in Nepal,Subarna Shakya
"Age, Gender, and Ethnicity Prediction using Deep Separable Convolutional Neural Networks",Subarna Shakya
A perspective review of security issues in iot with cloud environment,Subarna Shakya
Intelligent stock trading strategy based on Aroon indicator,Subarna Shakya
Automated Characters Recognition and Family Relationship Extraction from Stories,Subarna Shakya
English to Nepali Sentence Translation Using Recurrent Neural Network with Attention,Subarna Shakya
Parkinson’s disease data analysis and prediction using ensemble machine learning techniques,Subarna Shakya
Resource allocation and power management in cloud servers using deep reinforcement learning,Subarna Shakya
Analysis of L2 Regularization Hyper Parameter for Stock Price Prediction,Subarna Shakya
Nepali speech recognition using cnn and sequence models,Subarna Shakya
An Efficient Video Compression Network,Subarna Shakya
Low Resource English to Nepali Sentence Translation Using RNN—Long Short-Term Memory with Attention,Subarna Shakya
Image Processing and Capsule Networks: ICIPCN 2020,Subarna Shakya
Imputing block of missing data using deep autoencoder,Subarna Shakya
Image processing and capsule networks,Subarna Shakya
Practicing E-Governance in Nepal: Challenges of Civil Service,Subarna Shakya
Deep learning based handwritten signature recognition,Subarna Shakya
An Overview of C and C++: A Case of Engineering Faculty,Subarna Shakya
Malware detection and classification using latent semantic indexing,Subarna Shakya
RETIENAS: Real Time Intranet Based Entrance Examination System at Institute of Engineering,Subarna Shakya
Power and capacity optimization for wireless sensor network (WSN),Subarna Shakya
Network Analysis in Relationship Dynamics and Digital Social Identity in Youths,Subarna Shakya
Distributed Denial of Service Attack Detection on Software Defined Networking Using Deep Learning,Subarna Shakya
Handling Of Sensitive Data With The Use Of 3G In Vehicular Ad-Hoc Networks,Subarna Shakya
Pragmatic Analysis on Secure Privacy-as-a-Service,Subarna Shakya
Vital events registration as an effective tool to monitor social security cash transfer in Nepalese context,Subarna Shakya
Performance analysis of stegano data with improved LSB substitution using horse step algorithm and advanced encryption standard,Subarna Shakya
An approach towards backbone network congestion minimization in software defined network,Subarna Shakya
Modeling and Analysis of High availability Security Architecture for Whole of Government Systems,Subarna Shakya
Sentiment Analysis and Topic Modeling on News Headlines,Subarna Shakya
Modeling & analysis of cost effective high availability security architecture for whole of government systems to cater DDoS attack,Subarna Shakya
Directional movement index based machine learning strategy for predicting stock trading signals.,Subarna Shakya
"Automatic speech recognition for the Nepali language using CNN, bidirectional LSTM and ResNet",Subarna Shakya
